,repo,os,days_needed_to_remove_min,days_needed_to_remove_max,introducing_commit_id_first,introducing_commit_id_last,non_performance_candidate_commit_id,commiter_fixing_date,releases_pre_fixing_commit,issues_pre_fixing_commit,open_issues_pre_fixing_commit,closed_issues_pre_fixing_commit,mean_code_frequency_addition,median_code_frequency_addition,mean_code_frequency_deletion,median_code_frequency_deletion,patch_total_modifications,patch_total_deletions,patch_total_additions,Main Language,LOC,Contributors,age_pre_fixing
76,https://github.com/geometer/FBReaderJ,android,2,1943,681f42655,8cf3d51c9,8dd5af6ef,2013-05-01T19:27:19Z,106,133,71,62,748.9640719,0,549.3622754,0,31,18,13,Java,186463,7,2033
77,https://github.com/geometer/FBReaderJ,android,4,21,d7a6a7261,881d1a3c8,cd64b4e10,2007-12-11T00:21:50Z,0,0,0,0,2055.773984,102,1325.585366,33,33,12,21,Java,15373,5,65
78,https://github.com/geometer/FBReaderJ,android,0,145,2eadd95e2,a49f2abab,209b38e92,2008-03-23T19:34:41Z,0,0,0,0,1885.623333,71.5,1279.205,28,31,23,8,Java,25296,5,168
79,https://github.com/geometer/FBReaderJ,android,0,0,d206b8e58,d206b8e58,eec974206,2013-06-21T08:14:27Z,114,144,76,68,726.2018349,0,544.9602446,0,101,22,79,Java,193237,7,2084
80,https://github.com/geometer/FBReaderJ,android,23,23,eb8539c9c,eb8539c9c,249fef844,2012-10-05T22:01:27Z,83,75,37,38,799.717033,0,561.8763736,0,31,1,30,Java,177164,7,1825
81,https://github.com/geometer/FBReaderJ,android,3,31,2eadd95e2,362666949,fda5fdf26,2007-12-01T14:57:41Z,0,0,0,0,2078.191248,102,1337.132901,34,83,39,44,Java,9622,5,55
82,https://github.com/geometer/FBReaderJ,android,0,0,df76b8078,0472008a7,f36ed9490,2007-11-12T21:12:46Z,0,0,0,0,2089.652666,105,1347.245557,36,18,15,3,Java,5166,5,36
83,https://github.com/geometer/FBReaderJ,android,0,0,b9b7f61ad,b9b7f61ad,e7738a2a5,2010-09-14T10:46:45Z,0,0,0,0,1613.492569,74,1018.528662,31,13,1,12,Java,85935,7,1073
84,https://github.com/geometer/FBReaderJ,android,0,42,f04f763fb,2c4a41a45,e38a66fcd,2010-04-14T14:02:14Z,0,0,0,0,1683.26572,105,1096.653144,39,22,9,13,Java,78756,7,920
85,https://github.com/geometer/FBReaderJ,android,0,0,e50cd40ea,e50cd40ea,046e89d27,2010-04-07T09:41:31Z,0,0,0,0,1687.226721,108,1096.797571,40.5,29,1,28,Java,76148,7,913
86,https://github.com/geometer/FBReaderJ,android,90,90,26e3d749c,26e3d749c,2e138afe6,2010-03-10T21:51:44Z,0,0,0,0,1785.638554,119,1192.425703,44,2,1,1,Java,74030,7,885
87,https://github.com/geometer/FBReaderJ,android,2,2,7a8755641,7a8755641,2241f5112,2010-04-16T12:05:05Z,0,0,0,0,1683.26572,105,1096.653144,39,2,1,1,Java,79003,7,922
88,https://github.com/geometer/FBReaderJ,android,6,22,df4601c51,f96dcc41a,b0dd06d99,2010-05-18T09:01:16Z,0,0,0,0,1578.780738,93,993.5737705,35,22,3,19,Java,81865,7,954
89,https://github.com/geometer/FBReaderJ,android,3,400,3d95db3b5,c7f364020,945cb4053,2010-05-18T12:22:38Z,0,0,0,0,1578.780738,93,993.5737705,35,4,2,2,Java,81885,7,954
90,https://github.com/geometer/FBReaderJ,android,5,7,d7a6a7261,d04eafc31,65d31f9df,2007-11-27T11:45:02Z,0,0,0,0,2078.191248,102,1337.132901,34,14,7,7,Java,9042,5,51
91,https://github.com/geometer/FBReaderJ,android,5,344,4a7b74d9b,e98510fa5,f28986383,2010-05-19T20:40:17Z,0,0,0,0,1578.780738,93,993.5737705,35,6,3,3,Java,81885,7,955
92,https://github.com/jonasoreland/runnerup,android,0,0,355aee98,355aee98,f3ad09af,2014-11-04T18:32:51Z,33,117,14,103,623.0156863,21,490.145098,7,2,1,1,Java,29049,14,709
93,https://github.com/k9mail/k-9,android,5,382,5491dee81,27caf93e1,67437ad0d,2009-11-19T00:41:05Z,0,0,0,0,2647.756809,505.5,2396.373541,269,18,12,6,Java,43718,7,389
94,https://github.com/k9mail/k-9,android,18,18,959404cc6,959404cc6,5f96961cd,2009-11-09T03:52:59Z,0,0,0,0,2649.88932,509,2398.396117,270,13,4,9,Java,43601,7,379
95,https://github.com/k9mail/k-9,android,42,42,5491dee81,5491dee81,ec29561d8,2008-12-14T06:37:58Z,0,0,0,0,2476.446619,480.5,2221.580071,230.5,30,13,17,Java,32458,7,49
96,https://github.com/k9mail/k-9,android,42,42,5491dee81,5491dee81,dba525739,2008-12-14T06:23:03Z,0,0,0,0,2476.446619,480.5,2221.580071,230.5,28,12,16,Java,32448,7,49
